"","Time","Utah","","Score","","Dallas"
"331","1:05.0","","","68-62","+1","D. Finney-Smith makes free throw 2 of 2"
"332","0:48.0","D. House makes 2-pt layup from 3 ft (assist by M. Conley)","+2","70-62","",""
"333","0:42.0","","","70-65","+3","R. Bullock makes 3-pt jump shot from 31 ft (assist by S. Dinwiddie)"
"334","0:33.0","D. House makes 3-pt jump shot from 23 ft (assist by M. Conley)","+3","73-65","",""
"335","0:27.0","","","73-65","","D. Finney-Smith misses 3-pt jump shot from 28 ft"
"336","0:23.0","Defensive rebound by M. Conley","","73-65","",""
"337","0:01.0","Turnover by D. Mitchell (traveling)","","73-65","",""
"338","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"339","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"340","Time","Utah","","Score","","Dallas"
"341","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"342","11:47.0","Turnover by M. Conley (bad pass; steal by D. Powell)","","73-65","",""
"343","11:32.0","","","73-65","","Def 3 sec tech foul by Team"
"344","11:32.0","","","73-66","+1","J. Brunson makes technical free throw"
"345","11:26.0","","","73-66","","Personal foul by D. House (drawn by J. Brunson)"
"346","11:13.0","","","73-66","","D. Bertans misses 3-pt jump shot from 26 ft"
"347","11:11.0","Defensive rebound by Team","","73-66","",""
"348","10:56.0","M. Conley misses 2-pt jump shot from 12 ft","","73-66","",""
"349","10:52.0","","","73-66","","Defensive rebound by D. Bertans"
