"","Time","Dallas","","Score","","Golden State"
"333","0:01.0","","","69-88","+2","J. Poole makes 2-pt jump shot from 20 ft"
"334","0:00.0","","","69-88","","Instant Replay (Request: Ruling Stands)"
"335","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"336","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"337","Time","Dallas","","Score","","Golden State"
"338","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"339","11:51.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","69-88","",""
"340","11:49.0","","","69-88","","Defensive rebound by D. Green"
"341","11:35.0","","","69-88","","A. Wiggins misses 2-pt jump shot from 7 ft"
"342","11:32.0","","","69-88","","Offensive rebound by J. Poole"
"343","11:29.0","","","69-90","+2","J. Poole makes 2-pt layup from 5 ft"
"344","11:04.0","L. Doncic misses 3-pt jump shot from 31 ft","","69-90","",""
"345","11:02.0","","","69-90","","Defensive rebound by O. Porter"
"346","10:56.0","","","69-90","","Personal take foul by L. Doncic (drawn by J. Poole)"
"347","10:47.0","","","69-92","+2","K. Thompson makes 2-pt jump shot from 17 ft"
"348","10:26.0","L. Doncic misses 3-pt jump shot from 31 ft","","69-92","",""
"349","10:23.0","","","69-92","","Defensive rebound by J. Poole"
"350","10:19.0","","","69-92","","Personal foul by F. Ntilikina (drawn by J. Poole)"
"351","10:13.0","","","69-92","","A. Wiggins misses 2-pt jump shot from 8 ft"
"352","10:10.0","Defensive rebound by L. Doncic","","69-92","",""
"353","10:07.0","Personal take foul by J. Poole (drawn by S. Dinwiddie)","","69-92","",""
"354","9:56.0","M. Kleber misses 3-pt jump shot from 23 ft","","69-92","",""
