"","Time","Milwaukee","","Score","","Boston"
"246","8:53.0","","","55-58","","J. Tatum misses 2-pt jump shot from 8 ft"
"247","8:51.0","","","55-58","","Offensive rebound by J. Tatum"
"248","8:51.0","","","55-60","+2","J. Tatum makes 2-pt layup at rim"
"249","8:29.0","G. Antetokounmpo makes 2-pt jump shot from 15 ft","+2","57-60","",""
"250","8:12.0","","","57-60","","Turnover by J. Tatum (out of bounds lost ball)"
"251","8:03.0","G. Antetokounmpo misses 3-pt jump shot from 26 ft","","57-60","",""
"252","7:58.0","Offensive rebound by W. Matthews","","57-60","",""
"253","7:54.0","W. Matthews misses 2-pt layup from 8 ft","","57-60","",""
"254","7:52.0","Offensive rebound by Team","","57-60","",""
"255","7:47.0","J. Holiday misses 3-pt jump shot from 25 ft","","57-60","",""
"256","7:44.0","Offensive rebound by G. Allen","","57-60","",""
"257","7:38.0","B. Lopez makes 2-pt jump shot from 18 ft (assist by J. Holiday)","+2","59-60","",""
"258","7:12.0","","","59-60","","J. Tatum misses 3-pt jump shot from 26 ft"
"259","7:10.0","Defensive rebound by J. Holiday","","59-60","",""
"260","6:58.0","W. Matthews misses 2-pt layup from 4 ft","","59-60","",""
"261","6:56.0","","","59-60","","Defensive rebound by A. Horford"
"262","6:49.0","","","59-60","","J. Brown misses 2-pt layup from 3 ft"
"263","6:48.0","","","59-60","","Offensive rebound by J. Brown"
"264","6:47.0","","","59-62","+2","J. Brown makes 2-pt layup from 2 ft"
"265","6:30.0","Personal foul by M. Smart (drawn by G. Allen)","","59-62","",""
"266","6:30.0","P. Connaughton enters the game for G. Allen","","59-62","",""
"267","6:30.0","B. Portis enters the game for B. Lopez","","59-62","",""
"268","6:20.0","G. Antetokounmpo misses 2-pt jump shot from 16 ft","","59-62","",""
"269","6:17.0","","","59-62","","Defensive rebound by M. Smart"
"270","6:03.0","","","59-64","+2","M. Smart makes 2-pt layup from 3 ft (assist by J. Brown)"
"271","5:49.0","J. Holiday makes 2-pt layup from 3 ft","+2","61-64","",""
"272","5:34.0","","","61-66","+2","J. Tatum makes 2-pt jump shot from 4 ft (assist by A. Horford)"
"273","5:28.0","G. Antetokounmpo makes 2-pt layup from 2 ft (assist by J. Holiday)","+2","63-66","",""
