"","Time","Golden State","","Score","","Memphis"
"290","8:26.0","","","55-88","","Shooting foul by N. Bjelica (drawn by D. Brooks)"
"291","8:26.0","","","55-88","","D. Brooks misses free throw 1 of 2"
"292","8:26.0","","","55-88","","Offensive rebound by Team"
"293","8:26.0","","","55-89","+1","D. Brooks makes free throw 2 of 2"
"294","8:14.0","Shooting foul by T. Jones (drawn by D. Green)","","55-89","",""
"295","8:14.0","D. Green misses free throw 1 of 2","","55-89","",""
"296","8:14.0","Offensive rebound by Team","","55-89","",""
"297","8:14.0","D. Green makes free throw 2 of 2","+1","56-89","",""
"298","7:54.0","","","56-92","+3","D. Bane makes 3-pt jump shot from 24 ft (assist by D. Brooks)"
"299","7:35.0","K. Thompson misses 2-pt jump shot from 10 ft","","56-92","",""
"300","7:32.0","","","56-92","","Defensive rebound by S. Adams"
"301","7:24.0","","","56-95","+3","D. Brooks makes 3-pt jump shot from 26 ft (assist by T. Jones)"
"302","7:14.0","Golden State full timeout","","56-95","",""
"303","7:02.0","Turnover by D. Green (bad pass; steal by J. Jackson)","","56-95","",""
"304","6:44.0","","","56-95","","Personal foul by K. Thompson (drawn by S. Adams)"
"305","6:44.0","","","56-96","+1","S. Adams makes free throw 1 of 2"
"306","6:44.0","J. Kuminga enters the game for S. Curry","","56-96","",""
"307","6:44.0","D. Lee enters the game for D. Green","","56-96","",""
"308","6:44.0","","","56-97","+1","S. Adams makes free throw 2 of 2"
"309","6:37.0","Personal foul by J. Jackson (drawn by J. Poole)","","56-97","",""
"310","6:30.0","J. Poole misses 2-pt jump shot from 9 ft","","56-97","",""
"311","6:28.0","","","56-97","","Defensive rebound by T. Jones"
"312","6:21.0","","","56-100","+3","T. Jones makes 3-pt jump shot from 24 ft (assist by J. Jackson)"
"313","6:03.0","Turnover by J. Poole (bad pass; steal by T. Jones)","","56-100","",""
"314","5:58.0","","","56-100","","D. Bane misses 3-pt jump shot from 24 ft"
"315","5:56.0","Defensive rebound by D. Lee","","56-100","",""
"316","5:42.0","J. Kuminga misses 3-pt jump shot from 23 ft","","56-100","",""
"317","5:40.0","","","56-100","","Defensive rebound by T. Jones"
"318","5:33.0","","","56-103","+3","J. Jackson makes 3-pt jump shot from 30 ft (assist by T. Jones)"
"319","5:19.0","N. Bjelica makes 2-pt jump shot from 19 ft (assist by J. Poole)","+2","58-103","",""
"320","5:01.0","","","58-103","","Shooting foul by J. Kuminga (drawn by J. Jackson)"
"321","5:01.0","","","58-104","+1","J. Jackson makes free throw 1 of 2"
"322","5:01.0","M. Moody enters the game for K. Thompson","","58-104","",""
"323","5:01.0","","","58-104","","B. Clarke enters the game for S. Adams"
"324","5:01.0","","","58-104","","Z. Williams enters the game for D. Bane"
"325","5:01.0","","","58-105","+1","J. Jackson makes free throw 2 of 2"
"326","4:46.0","M. Moody makes 3-pt jump shot from 23 ft (assist by N. Bjelica)","+3","61-105","",""
"327","4:28.0","","","61-105","","D. Brooks misses 3-pt jump shot from 25 ft"
"328","4:25.0","","","61-105","","Offensive rebound by B. Clarke"
"329","4:17.0","","","61-108","+3","J. Jackson makes 3-pt jump shot from 32 ft (assist by D. Brooks)"
"330","3:59.0","Turnover by J. Kuminga (lost ball; steal by Z. Williams)","","61-108","",""
"331","3:44.0","","","61-110","+2","D. Brooks makes 2-pt layup from 3 ft"
"332","3:44.0","Golden State full timeout","","61-110","",""
"333","3:44.0","J. Toscano-Anderson enters the game for J. Poole","","61-110","",""
"334","3:44.0","","","61-110","","K. Anderson enters the game for D. Brooks"
"335","3:44.0","","","61-110","","J. Konchar enters the game for J. Jackson"
"336","3:44.0","","","61-110","","D. Melton enters the game for T. Jones"
"337","3:30.0","M. Moody misses 3-pt jump shot from 25 ft","","61-110","",""
"338","3:27.0","","","61-110","","Defensive rebound by B. Clarke"
"339","3:20.0","","","61-113","+3","Z. Williams makes 3-pt jump shot from 26 ft (assist by K. Anderson)"
"340","3:03.0","J. Kuminga makes 2-pt layup from 4 ft","+2","63-113","",""
"341","2:53.0","","","63-113","","Z. Williams misses 3-pt jump shot from 25 ft"
"342","2:51.0","Defensive rebound by Team","","63-113","",""
"343","2:42.0","Turnover by J. Toscano-Anderson (bad pass; steal by J. Konchar)","","63-113","",""
"344","2:31.0","","","63-113","","K. Anderson misses 3-pt jump shot from 27 ft"
"345","2:28.0","Defensive rebound by J. Toscano-Anderson","","63-113","",""
"346","2:11.0","D. Lee misses 2-pt jump shot from 8 ft","","63-113","",""
"347","2:10.0","Offensive rebound by D. Lee","","63-113","",""
"348","2:01.0","J. Kuminga misses 3-pt jump shot from 25 ft","","63-113","",""
"349","1:57.0","","","63-113","","Defensive rebound by J. Konchar"
"350","1:41.0","","","63-113","","D. Melton misses 3-pt jump shot from 23 ft"
"351","1:38.0","Defensive rebound by J. Toscano-Anderson","","63-113","",""
"352","1:30.0","N. Bjelica misses 2-pt layup from 2 ft","","63-113","",""
"353","1:27.0","","","63-113","","Defensive rebound by B. Clarke"
