"","Time","Memphis","","Score","","Golden State"
"276","5:58.0","Personal take foul by D. Green (drawn by D. Bane)","","56-50","",""
"277","5:58.0","K. Anderson enters the game for S. Adams","","56-50","",""
"278","5:58.0","","","56-50","","D. Lee enters the game for K. Thompson"
"279","5:49.0","T. Jones misses 2-pt jump shot from 7 ft","","56-50","",""
"280","5:47.0","","","56-50","","Defensive rebound by D. Green"
"281","5:41.0","","","56-52","+2","D. Lee makes 2-pt layup from 3 ft (assist by D. Green)"
"282","5:23.0","J. Jackson misses 2-pt hook shot from 6 ft (block by A. Wiggins)","","56-52","",""
"283","5:20.0","Offensive rebound by K. Anderson","","56-52","",""
"284","5:15.0","K. Anderson makes 2-pt layup at rim","+2","58-52","",""
"285","5:08.0","","","58-52","","S. Curry misses 2-pt layup from 6 ft"
"286","5:05.0","Defensive rebound by J. Jackson","","58-52","",""
"287","5:00.0","D. Brooks misses 3-pt jump shot from 24 ft","","58-52","",""
"288","4:57.0","","","58-52","","Defensive rebound by D. Green"
"289","4:44.0","","","58-52","","Personal foul by J. Jackson (drawn by A. Wiggins)"
"290","4:44.0","B. Clarke enters the game for D. Bane","","58-52","",""
"291","4:44.0","Z. Williams enters the game for J. Jackson","","58-52","",""
"292","4:36.0","","","58-52","","S. Curry misses 3-pt jump shot from 24 ft"
"293","4:34.0","Defensive rebound by Z. Williams","","58-52","",""
"294","4:30.0","Offensive foul by B. Clarke (drawn by D. Lee)","","58-52","",""
"295","4:30.0","Turnover by B. Clarke (offensive foul)","","58-52","",""
"296","4:09.0","","","58-52","","D. Lee misses 2-pt layup from 5 ft"
"297","4:07.0","Defensive rebound by T. Jones","","58-52","",""
"298","4:04.0","Personal foul by D. Green (drawn by B. Clarke)","","58-52","",""
"299","4:04.0","","","58-52","","K. Looney enters the game for D. Green"
"300","3:50.0","B. Clarke makes 2-pt hook shot from 6 ft (assist by D. Brooks)","+2","60-52","",""
"301","3:31.0","","","60-54","+2","A. Wiggins makes 2-pt jump shot from 12 ft (assist by S. Curry)"
"302","3:31.0","","","60-54","","Shooting foul by K. Anderson (drawn by A. Wiggins)"
"303","3:31.0","","","60-55","+1","A. Wiggins makes free throw 1 of 1"
"304","3:17.0","Turnover by Z. Williams (bad pass; steal by S. Curry)","","60-55","",""
"305","3:12.0","","","60-55","","Turnover by A. Wiggins (lost ball; steal by Z. Williams)"
"306","3:08.0","Z. Williams makes 2-pt jump shot from 11 ft (assist by D. Brooks)","+2","62-55","",""
"307","2:55.0","","","62-57","+2","J. Poole makes 2-pt layup from 5 ft"
"308","2:44.0","T. Jones misses 3-pt jump shot from 26 ft","","62-57","",""
"309","2:43.0","","","62-57","","Defensive rebound by D. Lee"
"310","2:33.0","","","62-60","+3","S. Curry makes 3-pt jump shot from 26 ft"
"311","2:17.0","B. Clarke misses 2-pt hook shot from 8 ft (block by K. Looney)","","62-60","",""
"312","2:15.0","","","62-60","","Defensive rebound by K. Looney"
"313","2:10.0","","","62-60","","D. Lee misses 3-pt jump shot from 27 ft"
"314","2:08.0","","","62-60","","Offensive rebound by Team"
"315","2:08.0","Loose ball foul by B. Clarke (drawn by K. Looney)","","62-60","",""
"316","2:08.0","","","62-60","","Golden State full timeout"
"317","2:08.0","S. Adams enters the game for B. Clarke","","62-60","",""
"318","2:08.0","D. Bane enters the game for T. Jones","","62-60","",""
"319","2:02.0","","","62-60","","S. Curry misses 2-pt jump shot from 20 ft"
"320","1:59.0","Defensive rebound by K. Anderson","","62-60","",""
"321","1:54.0","D. Bane makes 2-pt layup from 5 ft (assist by K. Anderson)","+2","64-60","",""
"322","1:26.0","","","64-60","","D. Lee misses 2-pt jump shot from 10 ft"
"323","1:23.0","Defensive rebound by Z. Williams","","64-60","",""
"324","1:15.0","K. Anderson makes 2-pt layup from 4 ft (assist by S. Adams)","+2","66-60","",""
"325","1:15.0","Shooting foul by J. Poole (drawn by K. Anderson)","","66-60","",""
"326","1:15.0","","","66-60","","K. Thompson enters the game for A. Wiggins"
"327","1:15.0","K. Anderson misses free throw 1 of 1","","66-60","",""
"328","1:13.0","","","66-60","","Defensive rebound by D. Lee"
"329","1:01.0","","","66-60","","S. Curry misses 2-pt jump shot from 19 ft"
"330","0:59.0","Defensive rebound by D. Brooks","","66-60","",""
"331","0:51.0","D. Brooks misses 2-pt layup from 5 ft","","66-60","",""
"332","0:49.0","Offensive rebound by S. Adams","","66-60","",""
"333","0:41.0","Shooting foul by J. Poole (drawn by K. Anderson)","","66-60","",""
"334","0:41.0","K. Anderson misses free throw 1 of 2","","66-60","",""
"335","0:41.0","Offensive rebound by Team","","66-60","",""
"336","0:41.0","","","66-60","","O. Porter enters the game for D. Lee"
"337","0:41.0","K. Anderson misses free throw 2 of 2","","66-60","",""
"338","0:40.0","","","66-60","","Defensive rebound by K. Thompson"
"339","0:30.0","","","66-60","","K. Thompson misses 2-pt jump shot from 19 ft"
"340","0:26.0","Defensive rebound by Z. Williams","","66-60","",""
"341","0:17.0","Turnover by D. Brooks (bad pass)","","66-60","",""
"342","0:17.0","J. Jackson enters the game for S. Adams","","66-60","",""
"343","0:05.0","","","66-60","","O. Porter misses 2-pt jump shot from 7 ft"
"344","0:04.0","","","66-60","","Offensive rebound by K. Looney"
"345","0:03.0","","","66-62","+2","K. Looney makes 2-pt layup at rim"
"346","0:00.0","D. Bane makes 3-pt jump shot from 32 ft","+3","69-62","",""
"347","0:00.0","Instant Replay (Request: Ruling Stands)","","69-62","",""
"348","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"349","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"350","Time","Memphis","","Score","","Golden State"
"351","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"352","11:41.0","S. Adams makes 2-pt layup from 3 ft (assist by D. Bane)","+2","71-62","",""
"353","11:23.0","","","71-62","","Shooting foul by S. Adams (drawn by J. Poole)"
"354","11:23.0","","","71-63","+1","J. Poole makes free throw 1 of 2"
"355","11:23.0","","","71-64","+1","J. Poole makes free throw 2 of 2"
"356","11:07.0","T. Jones misses 2-pt jump shot from 10 ft","","71-64","",""
"357","11:05.0","Offensive rebound by S. Adams","","71-64","",""
